year,geography,age_group,sex,raw_education_column,value,age_harmonization_status,category_label_status
2000,新北市,50~54歲,女,itemvalue4,89193.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,55~59歲,計,itemvalue4,118975.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,55~59歲,男,itemvalue4,59004.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,55~59歲,女,itemvalue4,59971.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,60~64歲,計,itemvalue4,98688.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,60~64歲,男,itemvalue4,46970.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,60~64歲,女,itemvalue4,51718.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,65歲以上,計,itemvalue4,227188.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,65歲以上,男,itemvalue4,123329.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,65歲以上,女,itemvalue4,103859.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,15歲以上總人口,計,itemvalue4,2859275.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,15歲以上總人口,男,itemvalue4,1430629.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,15歲以上總人口,女,itemvalue4,1428646.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,15~19歲,計,itemvalue4,298241.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2001,新北市,15~19歲,男,itemvalue4,153562.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2001,新北市,15~19歲,女,itemvalue4,144679.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2001,新北市,20~24歲,計,itemvalue4,337769.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,20~24歲,男,itemvalue4,173142.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,20~24歲,女,itemvalue4,164627.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,25~29歲,計,itemvalue4,305353.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,25~29歲,男,itemvalue4,155099.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,25~29歲,女,itemvalue4,150254.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,30~34歲,計,itemvalue4,310135.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,30~34歲,男,itemvalue4,153921.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,30~34歲,女,itemvalue4,156214.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2001,新北市,35~39歲,計,itemvalue4,333288.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2001,新北市,35~39歲,男,itemvalue4,161194.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2001,新北市,35~39歲,女,itemvalue4,172094.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2001,新北市,40~44歲,計,itemvalue4,321813.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,40~44歲,男,itemvalue4,156237.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,40~44歲,女,itemvalue4,165576.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,45~49歲,計,itemvalue4,291676.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,45~49歲,男,itemvalue4,142640.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,45~49歲,女,itemvalue4,149036.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,50~54歲,計,itemvalue4,205387.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,50~54歲,男,itemvalue4,101427.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,50~54歲,女,itemvalue4,103960.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,55~59歲,計,itemvalue4,119286.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,55~59歲,男,itemvalue4,59162.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,55~59歲,女,itemvalue4,60124.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,60~64歲,計,itemvalue4,103729.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,60~64歲,男,itemvalue4,49551.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,60~64歲,女,itemvalue4,54178.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,65歲以上,計,itemvalue4,232598.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,65歲以上,男,itemvalue4,124694.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2001,新北市,65歲以上,女,itemvalue4,107904.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,15歲以上總人口,計,itemvalue4,2900785.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,15歲以上總人口,男,itemvalue4,1449518.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
