period,roc_year,year,month,area,sex,age,population,age_scope
109年 1月,109,2020,1.0,連江縣,性別總計,0,138,single age
109年 1月,109,2020,1.0,連江縣,男,0,74,single age
109年 1月,109,2020,1.0,連江縣,女,0,64,single age
109年 2月,109,2020,2.0,區域別總計,性別總計,0,165565,single age
109年 2月,109,2020,2.0,區域別總計,男,0,85851,single age
109年 2月,109,2020,2.0,區域別總計,女,0,79714,single age
109年 2月,109,2020,2.0,新北市,性別總計,0,26651,single age
109年 2月,109,2020,2.0,新北市,男,0,13764,single age
109年 2月,109,2020,2.0,新北市,女,0,12887,single age
109年 2月,109,2020,2.0,臺北市,性別總計,0,19898,single age
109年 2月,109,2020,2.0,臺北市,男,0,10302,single age
109年 2月,109,2020,2.0,臺北市,女,0,9596,single age
109年 2月,109,2020,2.0,桃園市,性別總計,0,20991,single age
109年 2月,109,2020,2.0,桃園市,男,0,10895,single age
109年 2月,109,2020,2.0,桃園市,女,0,10096,single age
109年 2月,109,2020,2.0,臺中市,性別總計,0,20278,single age
109年 2月,109,2020,2.0,臺中市,男,0,10540,single age
109年 2月,109,2020,2.0,臺中市,女,0,9738,single age
109年 2月,109,2020,2.0,臺南市,性別總計,0,11224,single age
109年 2月,109,2020,2.0,臺南市,男,0,5806,single age
109年 2月,109,2020,2.0,臺南市,女,0,5418,single age
109年 2月,109,2020,2.0,高雄市,性別總計,0,18314,single age
109年 2月,109,2020,2.0,高雄市,男,0,9456,single age
109年 2月,109,2020,2.0,高雄市,女,0,8858,single age
109年 2月,109,2020,2.0,宜蘭縣,性別總計,0,2876,single age
109年 2月,109,2020,2.0,宜蘭縣,男,0,1455,single age
109年 2月,109,2020,2.0,宜蘭縣,女,0,1421,single age
109年 2月,109,2020,2.0,新竹縣,性別總計,0,4384,single age
109年 2月,109,2020,2.0,新竹縣,男,0,2278,single age
109年 2月,109,2020,2.0,新竹縣,女,0,2106,single age
109年 2月,109,2020,2.0,苗栗縣,性別總計,0,2838,single age
109年 2月,109,2020,2.0,苗栗縣,男,0,1505,single age
109年 2月,109,2020,2.0,苗栗縣,女,0,1333,single age
109年 2月,109,2020,2.0,彰化縣,性別總計,0,10945,single age
109年 2月,109,2020,2.0,彰化縣,男,0,5668,single age
109年 2月,109,2020,2.0,彰化縣,女,0,5277,single age
109年 2月,109,2020,2.0,南投縣,性別總計,0,2945,single age
109年 2月,109,2020,2.0,南投縣,男,0,1526,single age
109年 2月,109,2020,2.0,南投縣,女,0,1419,single age
109年 2月,109,2020,2.0,雲林縣,性別總計,0,4037,single age
109年 2月,109,2020,2.0,雲林縣,男,0,2121,single age
109年 2月,109,2020,2.0,雲林縣,女,0,1916,single age
109年 2月,109,2020,2.0,嘉義縣,性別總計,0,2697,single age
109年 2月,109,2020,2.0,嘉義縣,男,0,1386,single age
109年 2月,109,2020,2.0,嘉義縣,女,0,1311,single age
109年 2月,109,2020,2.0,屏東縣,性別總計,0,4472,single age
109年 2月,109,2020,2.0,屏東縣,男,0,2344,single age
109年 2月,109,2020,2.0,屏東縣,女,0,2128,single age
109年 2月,109,2020,2.0,臺東縣,性別總計,0,1384,single age
109年 2月,109,2020,2.0,臺東縣,男,0,743,single age
109年 2月,109,2020,2.0,臺東縣,女,0,641,single age
109年 2月,109,2020,2.0,花蓮縣,性別總計,0,2214,single age
109年 2月,109,2020,2.0,花蓮縣,男,0,1172,single age
109年 2月,109,2020,2.0,花蓮縣,女,0,1042,single age
109年 2月,109,2020,2.0,澎湖縣,性別總計,0,923,single age
109年 2月,109,2020,2.0,澎湖縣,男,0,457,single age
109年 2月,109,2020,2.0,澎湖縣,女,0,466,single age
109年 2月,109,2020,2.0,基隆市,性別總計,0,1907,single age
109年 2月,109,2020,2.0,基隆市,男,0,1007,single age
109年 2月,109,2020,2.0,基隆市,女,0,900,single age
109年 2月,109,2020,2.0,新竹市,性別總計,0,3813,single age
109年 2月,109,2020,2.0,新竹市,男,0,2020,single age
109年 2月,109,2020,2.0,新竹市,女,0,1793,single age
109年 2月,109,2020,2.0,嘉義市,性別總計,0,1606,single age
109年 2月,109,2020,2.0,嘉義市,男,0,812,single age
109年 2月,109,2020,2.0,嘉義市,女,0,794,single age
109年 2月,109,2020,2.0,金門縣,性別總計,0,1034,single age
109年 2月,109,2020,2.0,金門縣,男,0,526,single age
109年 2月,109,2020,2.0,金門縣,女,0,508,single age
109年 2月,109,2020,2.0,連江縣,性別總計,0,134,single age
109年 2月,109,2020,2.0,連江縣,男,0,68,single age
109年 2月,109,2020,2.0,連江縣,女,0,66,single age
109年 3月,109,2020,3.0,區域別總計,性別總計,0,165298,single age
