year,source_file,raw_column,inferred_age_group,sex,employed_share_percent,age_harmonization_status,label_confidence
2008,ntpc_employed_age_structure.csv,percent21,65+,female,0.39,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent2,15-24,male,5.85,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent3,15-24,female,9.99,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent4,25-29,male,13.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent5,25-29,female,17.03,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent6,30-34,male,15.42,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent7,30-34,female,16.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent8,35-39,male,14.31,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent9,35-39,female,14.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent10,40-44,male,13.71,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent11,40-44,female,14.08,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent12,45-49,male,13.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent13,45-49,female,12.16,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent14,50-54,male,11.69,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent15,50-54,female,9.22,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent16,55-59,male,7.66,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent17,55-59,female,4.48,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent18,60-64,male,2.52,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent19,60-64,female,1.15,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent20,65+,male,1.11,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2009,ntpc_employed_age_structure.csv,percent21,65+,female,0.38,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent2,15-24,male,6.02,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent3,15-24,female,9.39,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent4,25-29,male,13.64,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent5,25-29,female,16.77,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent6,30-34,male,15.65,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent7,30-34,female,16.9,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent8,35-39,male,14.24,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent9,35-39,female,14.52,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent10,40-44,male,13.54,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent11,40-44,female,13.89,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent12,45-49,male,13.74,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent13,45-49,female,12.39,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent14,50-54,male,11.43,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent15,50-54,female,9.64,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent16,55-59,male,8.12,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
