candidate_name,poi_type,name,lat,lon,source
三峽北大特區,food,品田牧場,24.9441312,121.3783425,https://overpass-api.de/api/interpreter
三峽北大特區,food,西堤,24.9441645,121.3782381,https://overpass-api.de/api/interpreter
三峽北大特區,food,聚 日式鍋物,24.9442229,121.3783285,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,家樂福超市,24.9431131,121.3746782,https://overpass-api.de/api/interpreter
三峽北大特區,food,福勝亭,24.9430328,121.3747352,https://overpass-api.de/api/interpreter
三峽北大特區,food,四海遊龍鍋貼專賣店,24.9436026,121.3744284,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,7-Eleven,24.9453383,121.3722474,https://overpass-api.de/api/interpreter
三峽北大特區,food,慢思 Amour.Sacrifice,24.9433697,121.3729352,https://overpass-api.de/api/interpreter
三峽北大特區,food,麗媽四季火鍋 三峽北大國際店,24.9432286,121.3727098,https://overpass-api.de/api/interpreter
三峽北大特區,food,泰鍋古意,24.9430607,121.3725342,https://overpass-api.de/api/interpreter
三峽北大特區,food,怡蘭扁食,24.9430129,121.3725689,https://overpass-api.de/api/interpreter
三峽北大特區,food,伊朶義式小廚,24.9424348,121.3730969,https://overpass-api.de/api/interpreter
三峽北大特區,food,漢堡大師三峽國際店,24.9425949,121.3733904,https://overpass-api.de/api/interpreter
三峽北大特區,food,古飽食堂,24.942825,121.3736705,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,聖德科斯,24.945085,121.3738538,https://overpass-api.de/api/interpreter
三峽北大特區,food,馨の(馨之)日本料理,24.9445174,121.3743559,https://overpass-api.de/api/interpreter
三峽北大特區,food,元爵味黃燜雞米飯,24.9432166,121.3743924,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,北大商場,24.9426302,121.3738205,https://overpass-api.de/api/interpreter
三峽北大特區,food,嘿咖啡 Hey coffee,24.944794,121.3705202,https://overpass-api.de/api/interpreter
三峽北大特區,food,大口吃飯糰,24.9429224,121.3721032,https://overpass-api.de/api/interpreter
三峽北大特區,food,大雄日式料理店,24.9428099,121.3724099,https://overpass-api.de/api/interpreter
三峽北大特區,food,俠客早午餐,24.9425693,121.3726022,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,家樂福超市,24.9454124,121.3805436,https://overpass-api.de/api/interpreter
三峽北大特區,food,良師塾校園石飲,24.9449662,121.3708253,https://overpass-api.de/api/interpreter
三峽北大特區,food,路易莎咖啡,24.9431162,121.3746004,https://overpass-api.de/api/interpreter
三峽北大特區,food,rooster,24.9434188,121.3733899,https://overpass-api.de/api/interpreter
三峽北大特區,food,蔗鼎鮮養生火鍋　三峽總店,24.9384732,121.3710727,https://overpass-api.de/api/interpreter
