city,station_uid,station_id,station_name_zh,station_name_en,lat,lon,station_address_zh,station_address_en,bikes_capacity,service_type,src_update_time,tdx_update_time,source_url
taipei,TPE500101030,500101030,YouBike2.0_臺大永齡生醫工程館,YouBike2.0_NTU Yonglin Biomedical Engineering Hall,25.01360000,121.54656000,芳蘭路51號西北側,"No. 51, Fanglan Rd.(Northwest)",34,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101031,500101031,YouBike2.0_臺大男七舍前,YouBike2.0_NTU 7th Men's Dorm,25.01537000,121.54698000,長興街/長興街80巷口西側,"Ln. 80, Changxing St. Intersection(West)",20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101032,500101032,YouBike2.0_臺大男一舍前,YouBike2.0_NTU 1st Men's Dorm,25.01637000,121.54535000,長興街50號西北側,"No. 50, Changxing St.(Northwest)",61,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101033,500101033,YouBike2.0_臺大男六舍前,YouBike2.0_NTU 6th Men's Dorm,25.01664000,121.54520000,大安區長興街31號,"No. 31, Changxing St.",40,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101034,500101034,YouBike2.0_臺大動物醫院前,YouBike2.0_NTU Veterinary Hospital,25.01576000,121.54291000,基隆路三段155巷/基隆路四段口,"Ln. 155, Sec. 3, Keelung Rd. Intersection",18,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101035,500101035,YouBike2.0_臺大土木研究大樓前,YouBike2.0_NTU Civil Engineering Research Building,25.01787000,121.54760000,辛亥路三段188號,"No. 188, Sec. 3, Xinhai Rd.",24,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101036,500101036,YouBike2.0_臺大萬才館前,YouBike2.0_NTU Wan Tsai Research Hall,25.02032000,121.54497000,臺大萬才館北側,NTU Wan Tsai Research Hall,20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101037,500101037,YouBike2.0_臺大國青大樓宿舍前,YouBike2.0_NTU Guo - Ching Building,25.02076000,121.54432000,辛亥路三段30號西北側,"No. 30, Sec. 3, Xinhai Rd.(Northwest)",20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101038,500101038,YouBike2.0_臺大社科院圖書館前,YouBike2.0_NTU College of social Sciences Building,25.02101000,121.54284000,辛亥路與復興南路口西南側,Xinhai Fuxing Rd. Intersection (Southwest),27,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101039,500101039,YouBike2.0_臺大法人語言訓練中心前,YouBike2.0_NTU Language Training & Testing Center,25.02104000,121.54081000,臺大法人語言訓練中心北側,NTU Language Training & Testing Center(North),28,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101040,500101040,YouBike2.0_臺大綜合體育館停車場前,YouBike2.0_NTU Sports Center Car Park,25.02220000,121.53626000,臺大綜合體育館北側,NTU Sports Center(North),25,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101041,500101041,YouBike2.0_辛亥新生路口東南側,YouBike2.0_Xinhai Xinsheng Rd. Intersection (Southeast),25.02218000,121.53474000,辛亥新生路口東南側,Xinhai Xinsheng Rd. Intersection (Southeast),50,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101042,500101042,YouBike2.0_基隆長興路口東側,YouBike2.0_Keelung Changxing Rd. Intersection(East),25.01727000,121.54471000,基隆長興路口東側,Keelung Changxing Rd. Intersection(East),15,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101091,500101091,YouBike2.0_國北教大側門南側,YouBike2.0_NTUE Side Gate(South),25.02286400,121.54662200,敦南街51號,"No. 51, Dunnan St.",34,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101092,500101092,YouBike2.0_和平實小東北側,YouBike2.0_Heping Experiment Elementary School (Northeast),25.02164100,121.54704000,敦南街73號,"No. 73, Dunnan St.",25,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
